Deformation,      Standard force,       Bending angle,Absolute crosshead t
5.499544143677e-01,  3.313428039551e+02,  1.404778284616e+00, -1.821361799063e+02
5.519565939903e-01,  3.324141845703e+02,  1.409908224786e+00, -1.821341777267e+02
5.539445281029e-01,  3.334809570313e+02,  1.415001776692e+00, -1.821321897926e+02
5.556100606918e-01,  3.344844665527e+02,  1.419269345875e+00, -1.821305242600e+02
5.576118826866e-01,  3.355333862305e+02,  1.424398687318e+00, -1.821285224380e+02
5.596182346344e-01,  3.365455932617e+02,  1.429539748792e+00, -1.821265160860e+02
5.619552731514e-01,  3.377062377930e+02,  1.435528301422e+00, -1.821241790475e+02
5.642900466919e-01,  3.388171081543e+02,  1.441511203071e+00, -1.821218442740e+02
5.662928819656e-01,  3.399289550781e+02,  1.446643628367e+00, -1.821198414387e+02
5.686150193214e-01,  3.410454101563e+02,  1.452594431504e+00, -1.821175193013e+02
5.706213116646e-01,  3.421286010742e+02,  1.457735959131e+00, -1.821155130090e+02
5.726148486137e-01,  3.431569519043e+02,  1.462844910226e+00, -1.821135194721e+02
5.746142268181e-01,  3.442206726074e+02,  1.467968942890e+00, -1.821115200938e+02
5.769436359406e-01,  3.453452453613e+02,  1.473938924375e+00, -1.821091906847e+02
5.792859792709e-01,  3.465240783691e+02,  1.479942207879e+00, -1.821068483414e+02
5.812817811966e-01,  3.475498657227e+02,  1.485057448097e+00, -1.821048525395e+02
5.832807421684e-01,  3.487402343750e+02,  1.490180896773e+00, -1.821028535785e+02
5.852826237679e-01,  3.497473449707e+02,  1.495311943325e+00, -1.821008516969e+02
5.876156687737e-01,  3.507770080566e+02,  1.501291940338e+00, -1.820985186519e+02
5.899507403374e-01,  3.519107971191e+02,  1.507277284356e+00, -1.820961835803e+02
5.919512510300e-01,  3.530030212402e+02,  1.512405190655e+00, -1.820941830696e+02
5.942912697792e-01,  3.541163635254e+02,  1.518403499631e+00, -1.820918430509e+02
5.962848067284e-01,  3.551405944824e+02,  1.523513772127e+00, -1.820898495139e+02
5.986184477806e-01,  3.562926025391e+02,  1.529496015570e+00, -1.820875158729e+02
