$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  9.794529527426e-02;  2.982518615723e+02; -7.627592995486e+01
  9.811495244503e-02;  3.001258544922e+02; -7.627576029769e+01
  9.827713668346e-02;  3.020786132813e+02; -7.627559811345e+01
  9.844557195902e-02;  3.039302673340e+02; -7.627542967818e+01
  9.861170500517e-02;  3.058134155273e+02; -7.627526354513e+01
  9.877914935350e-02;  3.077422790527e+02; -7.627509610078e+01
  9.894818812609e-02;  3.096637573242e+02; -7.627492706201e+01
  9.902863949537e-02;  3.106738281250e+02; -7.627484661064e+01
  9.919580817223e-02;  3.127157287598e+02; -7.627467944196e+01
  9.936126321554e-02;  3.147232971191e+02; -7.627451398692e+01
  9.944343566895e-02;  3.157697753906e+02; -7.627443181447e+01
  9.952811151743e-02;  3.167726135254e+02; -7.627434713862e+01
  9.961322695017e-02;  3.177784423828e+02; -7.627426202318e+01
  9.969653934240e-02;  3.188414916992e+02; -7.627417871079e+01
  9.986113756895e-02;  3.208104553223e+02; -7.627401411257e+01
  1.000262424350e-01;  3.227843322754e+02; -7.627384900770e+01
  1.001096144319e-01;  3.238295593262e+02; -7.627376563570e+01
  1.001939922571e-01;  3.248445129395e+02; -7.627368125788e+01
  1.003601178527e-01;  3.267842407227e+02; -7.627351513228e+01
  1.004434004426e-01;  3.278049926758e+02; -7.627343184969e+01
  1.005283668637e-01;  3.288496398926e+02; -7.627334688327e+01
  1.006145551801e-01;  3.298724670410e+02; -7.627326069496e+01
  1.007785871625e-01;  3.318938903809e+02; -7.627309666297e+01
  1.008629128337e-01;  3.328945312500e+02; -7.627301233730e+01
  1.009492203593e-01;  3.339046936035e+02; -7.627292602978e+01
  1.011149287224e-01;  3.358518981934e+02; -7.627276032141e+01
  1.012758091092e-01;  3.378919372559e+02; -7.627259944103e+01
  1.014435365796e-01;  3.399243164063e+02; -7.627243171356e+01
  1.015291213989e-01;  3.409249572754e+02; -7.627234612874e+01
  1.016127839684e-01;  3.419338684082e+02; -7.627226246617e+01
  1.016921997070e-01;  3.429432983398e+02; -7.627218305043e+01
  1.018594130874e-01;  3.449395141602e+02; -7.627201583705e+01
  1.019436568022e-01;  3.459606323242e+02; -7.627193159333e+01
  1.021110042930e-01;  3.479079589844e+02; -7.627176424584e+01
  1.021924391389e-01;  3.489305114746e+02; -7.627168281100e+01
  1.022746637464e-01;  3.499467163086e+02; -7.627160058639e+01
  1.023572906852e-01;  3.509929809570e+02; -7.627151795945e+01
  1.024456173182e-01;  3.520341796875e+02; -7.627142963282e+01
  1.026099026203e-01;  3.540660705566e+02; -7.627126534751e+01
  1.026953831315e-01;  3.550950012207e+02; -7.627117986700e+01
  1.027792021632e-01;  3.561725158691e+02; -7.627109604797e+01
  1.028600931168e-01;  3.572707519531e+02; -7.627101515702e+01
  1.029432192445e-01;  3.583270263672e+02; -7.627093203089e+01
  1.030269861221e-01;  3.593427734375e+02; -7.627084826401e+01
  1.031091883779e-01;  3.603899536133e+02; -7.627076606176e+01
  1.031948998570e-01;  3.614313354492e+02; -7.627068035028e+01
  1.032779142261e-01;  3.625287170410e+02; -7.627059733591e+01
  1.033618599176e-01;  3.635758056641e+02; -7.627051339022e+01
  1.034464836121e-01;  3.645997314453e+02; -7.627042876652e+01
  1.035318598151e-01;  3.656536865234e+02; -7.627034339032e+01
  1.036132946610e-01;  3.667273864746e+02; -7.627026195547e+01
  1.036947742105e-01;  3.678358459473e+02; -7.627018047592e+01
  1.037793532014e-01;  3.688983764648e+02; -7.627009589693e+01
  1.038628816605e-01;  3.699320068359e+02; -7.627001236847e+01
  1.039470732212e-01;  3.710144653320e+02; -7.626992817691e+01
  1.040294766426e-01;  3.721259460449e+02; -7.626984577349e+01
  1.041139885783e-01;  3.732083129883e+02; -7.626976126156e+01
  1.041985452175e-01;  3.742861022949e+02; -7.626967670492e+01
  1.042780131102e-01;  3.753675537109e+02; -7.626959723702e+01
  1.043601781130e-01;  3.764753417969e+02; -7.626951507202e+01
  1.044418811798e-01;  3.775465087891e+02; -7.626943336896e+01
  1.045273765922e-01;  3.785592956543e+02; -7.626934787354e+01
  1.046118289232e-01;  3.795945739746e+02; -7.626926342121e+01
  1.046949848533e-01;  3.806387023926e+02; -7.626918026528e+01
  1.047784760594e-01;  3.816877441406e+02; -7.626909677408e+01
  1.048615351319e-01;  3.827131652832e+02; -7.626901371500e+01
  1.049459502101e-01;  3.837464599609e+02; -7.626892929993e+01
  1.050285622478e-01;  3.848347167969e+02; -7.626884668789e+01
  1.051093339920e-01;  3.859592895508e+02; -7.626876591614e+01
  1.051916331053e-01;  3.870616149902e+02; -7.626868361703e+01
  1.052754521370e-01;  3.881738586426e+02; -7.626859979800e+01
  1.053622514009e-01;  3.892705383301e+02; -7.626851299873e+01
  1.054459512234e-01;  3.903950195313e+02; -7.626842929891e+01
  1.055289059877e-01;  3.915282287598e+02; -7.626834634415e+01
  1.056128367782e-01;  3.926683654785e+02; -7.626826241336e+01
  1.056960225105e-01;  3.937767028809e+02; -7.626817922762e+01
  1.057794466615e-01;  3.949059753418e+02; -7.626809580347e+01
  1.058642417192e-01;  3.959911193848e+02; -7.626801100842e+01
  1.059489920735e-01;  3.970651550293e+02; -7.626792625806e+01
  1.060334146023e-01;  3.981724243164e+02; -7.626784183553e+01
  1.061151400208e-01;  3.992203979492e+02; -7.626776011011e+01
  1.061980277300e-01;  4.003530273438e+02; -7.626767722241e+01
  1.062836572528e-01;  4.014822082520e+02; -7.626759159288e+01
  1.063647270203e-01;  4.026147460938e+02; -7.626751052311e+01
  1.064440682530e-01;  4.037328491211e+02; -7.626743118188e+01
  1.065302044153e-01;  4.048265380859e+02; -7.626734504572e+01
  1.066127642989e-01;  4.059393005371e+02; -7.626726248584e+01
  1.066955104470e-01;  4.070685729980e+02; -7.626717973969e+01
  1.067795231938e-01;  4.081989746094e+02; -7.626709572694e+01
  1.068629026413e-01;  4.092654418945e+02; -7.626701234749e+01
  1.069471910596e-01;  4.104108276367e+02; -7.626692805908e+01
  1.070313677192e-01;  4.115002746582e+02; -7.626684388242e+01
  1.071111485362e-01;  4.125809020996e+02; -7.626676410160e+01
  1.071930080652e-01;  4.136936950684e+02; -7.626668224207e+01
  1.072761714458e-01;  4.147367858887e+02; -7.626659907869e+01
  1.073589101434e-01;  4.158412780762e+02; -7.626651633999e+01
  1.074450761080e-01;  4.169717407227e+02; -7.626643017403e+01
  1.075325459242e-01;  4.180939331055e+02; -7.626634270421e+01
  1.076175495982e-01;  4.192445373535e+02; -7.626625770054e+01
  1.076992452145e-01;  4.203221740723e+02; -7.626617600492e+01
  1.077814474702e-01;  4.214205322266e+02; -7.626609380266e+01
  1.078633591533e-01;  4.225242309570e+02; -7.626601189098e+01
  1.079455614090e-01;  4.236989135742e+02; -7.626592968873e+01
  1.080273911357e-01;  4.248367614746e+02; -7.626584785900e+01
  1.081120893359e-01;  4.260564270020e+02; -7.626576316080e+01
  1.081984415650e-01;  4.272064514160e+02; -7.626567680857e+01
  1.082819849253e-01;  4.283776550293e+02; -7.626559326521e+01
  1.083628982306e-01;  4.295711669922e+02; -7.626551235190e+01
  1.084453612566e-01;  4.307708740234e+02; -7.626542988888e+01
  1.085296794772e-01;  4.319947509766e+02; -7.626534557066e+01
  1.086135804653e-01;  4.332109375000e+02; -7.626526166967e+01
  1.086973845959e-01;  4.344087829590e+02; -7.626517786554e+01
  1.087802127004e-01;  4.356616821289e+02; -7.626509503743e+01
  1.088628321886e-01;  4.369016723633e+02; -7.626501241795e+01
  1.089456304908e-01;  4.381115722656e+02; -7.626492961964e+01
  1.090298295021e-01;  4.393693237305e+02; -7.626484542063e+01
  1.091120988131e-01;  4.405965881348e+02; -7.626476315132e+01
  1.091961488128e-01;  4.417846984863e+02; -7.626467910132e+01
  1.092803254724e-01;  4.429598083496e+02; -7.626459492466e+01
  1.093619838357e-01;  4.442357482910e+02; -7.626451326630e+01
  1.094456389546e-01;  4.454831237793e+02; -7.626442961118e+01
  1.095300316811e-01;  4.467017822266e+02; -7.626434521845e+01
  1.096142381430e-01;  4.478860778809e+02; -7.626426101199e+01
  1.096998378634e-01;  4.491015319824e+02; -7.626417541227e+01
  1.097827255726e-01;  4.503578186035e+02; -7.626409252456e+01
  1.098688691854e-01;  4.516037902832e+02; -7.626400638095e+01
  1.099523976445e-01;  4.528062744141e+02; -7.626392285249e+01
  1.100326031446e-01;  4.540122680664e+02; -7.626384264699e+01
  1.101098731160e-01;  4.552920227051e+02; -7.626376537702e+01
  1.101946458220e-01;  4.565158996582e+02; -7.626368060431e+01
  1.102799177170e-01;  4.578018188477e+02; -7.626359533242e+01
  1.103666126728e-01;  4.590714111328e+02; -7.626350863746e+01
  1.104497984052e-01;  4.603520507813e+02; -7.626342545173e+01
  1.105311587453e-01;  4.616401672363e+02; -7.626334409139e+01
  1.106139197946e-01;  4.628998413086e+02; -7.626326133034e+01
  1.106979548931e-01;  4.641922912598e+02; -7.626317729524e+01
  1.107823327184e-01;  4.654980163574e+02; -7.626309291742e+01
  1.108660027385e-01;  4.668897399902e+02; -7.626300924740e+01
  1.109471917152e-01;  4.682551879883e+02; -7.626292805842e+01
  1.110279709101e-01;  4.696031799316e+02; -7.626284727923e+01
  1.111116632819e-01;  4.709453430176e+02; -7.626276358685e+01
  1.111971810460e-01;  4.723094787598e+02; -7.626267806909e+01
  1.112824752927e-01;  4.736570739746e+02; -7.626259277484e+01
  1.113615483046e-01;  4.750680541992e+02; -7.626251370183e+01
  1.114421635866e-01;  4.765286254883e+02; -7.626243308655e+01
  1.115238219500e-01;  4.779484863281e+02; -7.626235142819e+01
  1.116066798568e-01;  4.794025573730e+02; -7.626226857028e+01
  1.116905808449e-01;  4.807976684570e+02; -7.626218466929e+01
  1.117769032717e-01;  4.822368469238e+02; -7.626209834686e+01
  1.118611916900e-01;  4.836931762695e+02; -7.626201405845e+01
  1.119454428554e-01;  4.851474304199e+02; -7.626192980728e+01
  1.120263859630e-01;  4.865960388184e+02; -7.626184886417e+01
  1.121079027653e-01;  4.880649414063e+02; -7.626176734737e+01
  1.121930927038e-01;  4.895637817383e+02; -7.626168215743e+01
