$C:\ProgramData\Zwick\testXpert III\data\Test Method\compression test RT_Copper_20012025.zs2
Pre-load                                25 N
Test speed                              1 mm/min
Type of compression modulus determinatioRegression
$
  Compressive strain;      Standard force;Absolute crosshead t
  1.048308759928e-01;  1.945052642822e+02; -7.619916015020e+01
  1.049100756645e-01;  1.957617492676e+02; -7.619908095053e+01
  1.049898192286e-01;  1.970153198242e+02; -7.619900120697e+01
  1.050750389695e-01;  1.983262481689e+02; -7.619891598723e+01
  1.051601842046e-01;  1.995972747803e+02; -7.619883084199e+01
  1.052452325821e-01;  2.008680877686e+02; -7.619874579362e+01
  1.053282916546e-01;  2.021349487305e+02; -7.619866273454e+01
  1.054132357240e-01;  2.034436645508e+02; -7.619857779047e+01
  1.054961457849e-01;  2.047618713379e+02; -7.619849488041e+01
  1.055781617761e-01;  2.060540008545e+02; -7.619841286442e+01
  1.056601181626e-01;  2.072925720215e+02; -7.619833090803e+01
  1.057434305549e-01;  2.086364898682e+02; -7.619824759564e+01
  1.058261916041e-01;  2.100138397217e+02; -7.619816483459e+01
  1.059104129672e-01;  2.114067077637e+02; -7.619808061323e+01
  1.059921830893e-01;  2.127231445313e+02; -7.619799884311e+01
  1.060741618276e-01;  2.140700531006e+02; -7.619791686437e+01
  1.061562001705e-01;  2.154290466309e+02; -7.619783482603e+01
  1.062415540218e-01;  2.168380279541e+02; -7.619774947218e+01
  1.063244938850e-01;  2.182168273926e+02; -7.619766653231e+01
  1.064104735851e-01;  2.196354370117e+02; -7.619758055261e+01
  1.064948812127e-01;  2.210819549561e+02; -7.619749614498e+01
  1.065783128142e-01;  2.224484863281e+02; -7.619741271338e+01
  1.066627800465e-01;  2.238280029297e+02; -7.619732824615e+01
  1.067475229502e-01;  2.251831665039e+02; -7.619724350325e+01
  1.068301349878e-01;  2.266130065918e+02; -7.619716089121e+01
  1.069134995341e-01;  2.280459289551e+02; -7.619707752666e+01
  1.069947406650e-01;  2.295179595947e+02; -7.619699628553e+01
  1.070773229003e-01;  2.309616241455e+02; -7.619691370330e+01
  1.071613803506e-01;  2.323728027344e+02; -7.619682964585e+01
  1.072453111410e-01;  2.338209228516e+02; -7.619674571506e+01
  1.073291376233e-01;  2.352701568604e+02; -7.619666188857e+01
  1.074124723673e-01;  2.367627716064e+02; -7.619657855383e+01
  1.074959263206e-01;  2.381958160400e+02; -7.619649509988e+01
  1.075792387128e-01;  2.396291961670e+02; -7.619641178748e+01
  1.076629161835e-01;  2.410601654053e+02; -7.619632811001e+01
  1.077448204160e-01;  2.425328369141e+02; -7.619624620578e+01
  1.078260168433e-01;  2.439331665039e+02; -7.619616500935e+01
  1.079078465700e-01;  2.453477020264e+02; -7.619608317963e+01
  1.079951599240e-01;  2.467844696045e+02; -7.619599586627e+01
  1.080816760659e-01;  2.481973114014e+02; -7.619590935013e+01
  1.081621646881e-01;  2.496570434570e+02; -7.619582886151e+01
  1.082450002432e-01;  2.511204681396e+02; -7.619574602595e+01
  1.083277091384e-01;  2.525686340332e+02; -7.619566331706e+01
  1.084106266499e-01;  2.540721435547e+02; -7.619558039955e+01
  1.084947735071e-01;  2.555589752197e+02; -7.619549625269e+01
  1.085798218846e-01;  2.570628051758e+02; -7.619541120431e+01
  1.086621135473e-01;  2.585610351563e+02; -7.619532891265e+01
  1.087448894978e-01;  2.600462036133e+02; -7.619524613670e+01
  1.088259592652e-01;  2.615019836426e+02; -7.619516506693e+01
  1.089108511806e-01;  2.630259399414e+02; -7.619508017502e+01
  1.089931279421e-01;  2.645059509277e+02; -7.619499789826e+01
  1.090729311109e-01;  2.659980163574e+02; -7.619491809509e+01
  1.091591566801e-01;  2.674742126465e+02; -7.619483186952e+01
  1.092465966940e-01;  2.689925842285e+02; -7.619474442950e+01
  1.093319281936e-01;  2.705230407715e+02; -7.619465909800e+01
  1.094154268503e-01;  2.720089111328e+02; -7.619457559935e+01
  1.094973757863e-01;  2.735547485352e+02; -7.619449365041e+01
  1.095803603530e-01;  2.750773010254e+02; -7.619441066584e+01
  1.096626967192e-01;  2.766846923828e+02; -7.619432832948e+01
  1.097485125065e-01;  2.782455749512e+02; -7.619424251369e+01
  1.098331511021e-01;  2.797695007324e+02; -7.619415787510e+01
  1.099143996835e-01;  2.813023986816e+02; -7.619407662651e+01
  1.099963560700e-01;  2.829645996094e+02; -7.619399467013e+01
  1.100791543722e-01;  2.845384826660e+02; -7.619391187182e+01
  1.101648733020e-01;  2.861359863281e+02; -7.619382615290e+01
  1.102477535605e-01;  2.876875610352e+02; -7.619374327264e+01
  1.103295609355e-01;  2.892757568359e+02; -7.619366146526e+01
  1.104121133685e-01;  2.908902282715e+02; -7.619357891283e+01
  1.104976236820e-01;  2.924824523926e+02; -7.619349340252e+01
  1.105775758624e-01;  2.940609741211e+02; -7.619341345033e+01
  1.106594726443e-01;  2.956932983398e+02; -7.619333155355e+01
  1.107440441847e-01;  2.973127136230e+02; -7.619324698201e+01
  1.108285710216e-01;  2.988963928223e+02; -7.619316245518e+01
  1.109123006463e-01;  3.004699096680e+02; -7.619307872555e+01
  1.109946370125e-01;  3.020357055664e+02; -7.619299638918e+01
  1.110794916749e-01;  3.036635131836e+02; -7.619291153452e+01
  1.111616194248e-01;  3.052594604492e+02; -7.619282940677e+01
  1.112460419536e-01;  3.068712463379e+02; -7.619274498424e+01
  1.113312318921e-01;  3.084620666504e+02; -7.619265979431e+01
  1.114145815372e-01;  3.100926818848e+02; -7.619257644466e+01
  1.114940941334e-01;  3.117254638672e+02; -7.619249693206e+01
  1.115752756596e-01;  3.134235839844e+02; -7.619241575054e+01
  1.116575673223e-01;  3.151498107910e+02; -7.619233345887e+01
  1.117442548275e-01;  3.168243408203e+02; -7.619224677137e+01
  1.118303462863e-01;  3.185122070313e+02; -7.619216067991e+01
